mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
405395,26,0,0,0,0,12,0,0,0,0,0,0
408234,0,0,0,0,0,56,0,0,0,0,0,0
424144,0,0,0,0,0,0,0,0,0,0,0,21
425772,0,0,0,22,0,0,0,0,0,0,0,0
425783,0,0,0,0,0,13,15,0,2,0,17,0
425784,0,0,0,1,0,0,0,0,0,0,0,0
425794,0,0,0,0,0,0,0,10,0,0,0,0
425844,0,0,0,0,0,0,0,12,0,0,0,0
425877,0,0,0,42,0,0,0,0,0,0,0,0
429664,0,33,0,0,0,13,0,0,0,0,0,0
429665,0,0,0,0,0,43,0,0,0,0,0,0
430935,0,0,0,0,0,0,0,1,0,0,0,0
433589,0,0,0,0,0,0,0,0,0,0,0,26
434378,0,0,0,0,0,0,0,1,0,0,0,0
434671,0,0,0,0,0,0,0,11,0,0,0,0
435062,6,0,0,0,0,19,0,0,0,0,0,0
435522,3,3,1,0,0,3,0,0,0,0,0,1
435559,0,0,0,30,0,2,0,0,0,0,0,0
443558,0,0,0,0,0,52,0,0,0,0,0,0
444468,0,0,0,0,0,0,0,0,0,0,0,23
444482,0,0,0,0,0,8,45,0,0,0,45,0
444489,0,0,0,12,0,0,0,0,0,0,0,0
445055,0,0,0,0,5,1,2,0,6,0,13,0
445213,0,0,0,0,0,0,0,0,0,0,0,24
445276,0,0,0,0,0,0,0,0,0,0,0,27
445926,0,0,0,0,0,0,0,0,0,0,0,18
446308,0,0,0,12,0,0,0,0,0,0,0,0
446321,0,0,0,0,0,0,0,0,0,0,0,16
446334,0,0,50,0,0,0,0,0,0,0,0,0
446372,0,0,0,0,0,0,0,1,0,0,0,0
446481,0,2,0,0,0,0,1,0,0,0,1,0
448179,0,0,0,0,0,0,0,8,0,0,0,0
448281,0,0,0,0,0,0,0,0,0,0,0,11
448801,13,0,0,0,0,0,0,0,0,0,0,0
448855,0,0,0,0,0,0,0,0,0,0,0,25
450172,0,0,0,0,0,0,0,0,0,0,0,7
450203,0,0,0,0,0,0,0,9,0,0,0,0
451584,0,0,0,0,0,0,0,0,0,0,0,5
451594,0,0,0,0,0,2,0,0,27,0,27,0
452095,0,0,0,22,0,0,0,0,0,0,0,0
452254,0,0,0,0,0,4,4,0,5,0,9,0
452657,0,0,0,0,0,0,0,12,0,0,0,0
452678,23,0,17,0,0,11,0,0,0,0,0,0
453172,0,0,0,0,0,0,0,0,0,0,0,18
453178,0,0,0,0,0,0,0,1,0,0,0,14
453192,0,0,0,0,0,0,0,0,0,0,0,16
453265,0,0,0,0,0,0,0,0,0,0,0,21
453268,0,0,0,0,0,0,0,0,0,0,0,23
453281,0,0,0,0,0,0,0,6,0,0,0,0
453284,0,0,0,0,0,0,0,1,0,0,0,13
453286,0,0,0,0,0,0,0,12,0,0,0,0
453343,0,0,0,0,0,0,0,0,0,0,0,23
453562,0,0,0,0,0,0,0,9,0,0,0,0
453568,0,0,0,0,0,9,0,0,50,0,50,0
453943,15,0,27,0,0,0,0,0,0,0,0,1
455117,0,0,0,46,0,0,0,0,0,0,0,0
455119,0,0,0,0,0,0,0,0,0,0,0,19
455139,0,0,0,22,0,1,0,0,0,0,0,0
455976,0,0,0,0,0,2,5,0,26,0,31,0
456124,0,0,0,9,0,0,0,0,0,0,0,2
456488,0,0,0,0,0,0,0,0,0,0,0,0
456501,0,0,0,0,0,0,0,12,0,0,0,0
456701,0,0,0,0,0,0,0,2,0,0,0,0
456715,0,0,0,0,5,0,0,0,0,0,5,0
456781,0,39,5,0,0,0,0,0,0,2,0,0
457705,0,0,0,0,0,16,36,0,0,0,36,0
457708,0,0,0,0,0,3,39,0,0,0,39,0
457727,0,0,0,0,3,0,3,0,17,0,23,0
457759,0,0,32,0,0,10,0,0,0,0,0,0
457803,2,0,0,0,0,8,9,0,5,0,14,0
457915,0,0,0,0,0,0,0,0,0,0,0,14
457918,0,0,0,0,0,0,0,9,0,0,0,0
458015,49,0,0,0,0,5,0,0,0,0,0,0
458676,0,0,0,0,0,0,0,10,0,0,0,2
458677,0,0,0,0,0,0,0,0,0,0,0,23
458681,0,0,0,0,0,0,0,13,0,0,0,0
458708,0,0,0,0,0,0,0,5,0,0,0,12
458731,0,0,0,0,9,0,31,0,0,0,40,0
459429,0,0,0,0,0,0,0,0,0,0,0,24
459964,0,0,0,0,0,9,6,0,22,0,28,0
460075,0,0,0,0,0,15,0,0,19,0,19,0
460077,0,0,0,12,0,0,0,0,0,0,0,1
460086,0,0,0,0,0,0,48,0,0,0,48,0
461314,0,0,0,0,0,29,1,0,0,0,1,0
461325,0,0,0,0,0,0,0,2,0,0,0,24
461829,0,0,0,0,0,0,0,4,0,0,0,8
461865,0,0,0,0,0,0,0,0,0,0,0,0
462101,0,0,0,0,0,0,0,0,0,28,0,0
465041,0,0,0,16,0,0,0,0,0,0,0,0
465657,0,0,0,0,0,0,0,0,0,0,0,22
466988,0,0,0,0,0,0,1,0,0,0,1,0
467008,0,0,0,0,0,0,0,0,0,0,0,4
467055,5,0,3,0,0,11,0,0,0,0,0,0
467092,0,0,0,38,0,1,0,0,0,0,0,0
467100,0,0,0,0,0,0,0,4,0,0,0,0
467793,60,0,0,0,0,0,0,0,0,0,0,0
